onset	duration	trial_type
0.526	0.5	congruent
2.933	0.0	error
5.491	0.5	neutral
7.747	0.0	error
10.389	0.0	error
12.729	0.5	congruent
17.694	0.0	error
20.435	0.5	incongruent
23.093	0.5	congruent
25.4	0.5	neutral
30.516	0.5	neutral
32.956	0.5	congruent
38.172	0.5	congruent
40.763	0.5	incongruent
43.153	0.5	incongruent
45.912	0.5	neutral
48.453	0.5	incongruent
51.144	0.5	congruent
53.434	0.5	congruent
55.791	0.5	congruent
58.282	0.5	neutral
60.739	0.5	congruent
63.347	0.5	congruent
66.105	0.5	neutral
68.546	0.5	neutral
73.444	0.5	incongruent
76.186	0.5	incongruent
81.334	0.0	error
83.925	0.0	error
86.232	0.5	neutral
88.573	0.5	neutral
91.064	0.5	incongruent
95.978	0.5	incongruent
98.636	0.5	neutral
100.926	0.5	congruent
103.183	0.5	congruent
105.891	0.5	incongruent
108.432	0.5	incongruent
111.124	0.5	incongruent
113.481	0.5	congruent
116.038	0.5	neutral
123.46	0.5	congruent
126.202	0.5	congruent
128.492	0.5	neutral
130.883	0.5	congruent
136.082	0.5	congruent
138.79	0.5	incongruent
141.23	0.5	incongruent
146.396	0.5	neutral
148.736	0.5	neutral
153.885	0.0	error
156.376	0.5	congruent
158.933	0.0	error
164.049	0.0	error
166.356	0.5	incongruent
168.612	0.0	error
170.969	0.5	congruent
175.934	0.5	incongruent
178.692	0.5	congruent
181.284	0.0	error
183.825	0.5	incongruent
188.973	0.5	incongruent
191.631	0.5	incongruent
194.239	0.5	incongruent
196.696	0.0	error
209.017	0.5	incongruent
211.374	0.5	neutral
216.372	0.0	error
219.08	0.5	neutral
224.028	0.5	neutral
226.619	0.5	neutral
229.16	0.5	congruent
231.467	0.5	neutral
239.224	0.5	neutral
244.289	0.5	incongruent
247.047	0.5	congruent
256.977	0.5	congruent
259.234	0.5	neutral
264.132	0.5	neutral
266.472	0.5	neutral
271.671	0.5	neutral
276.87	0.5	incongruent
279.578	0.5	neutral
282.018	0.5	incongruent
284.309	0.5	incongruent
286.666	0.5	congruent
289.223	0.5	neutral
291.681	0.0	error
294.439	0.5	congruent
296.846	0.5	neutral
301.945	0.5	neutral
304.686	0.0	error
307.294	0.5	congruent
309.634	0.5	incongruent
312.025	0.5	congruent
319.297	0.5	congruent
321.604	0.5	neutral
324.245	0.5	congruent
326.903	0.0	error
331.951	0.5	neutral
334.442	0.5	neutral
337.05	0.5	incongruent
339.808	0.5	congruent
342.165	0.5	incongruent
346.98	0.5	neutral
349.32	0.5	incongruent
354.268	0.5	congruent
356.759	0.5	congruent
359.166	0.5	neutral
361.707	0.5	incongruent
364.265	0.0	error
366.655	0.5	incongruent
371.62	0.5	neutral
374.362	0.5	congruent
377.07	0.5	incongruent
381.867	0.5	congruent
384.525	0.5	congruent
394.639	0.5	incongruent
397.33	0.0	error
399.972	0.5	congruent
