onset	duration	trial_type
0.524	0.5	incongruent
3.215	0.5	incongruent
5.873	0.5	incongruent
8.214	0.5	neutral
10.755	0.5	congruent
13.463	0.5	incongruent
18.327	0.5	incongruent
20.935	0.5	congruent
23.576	0.5	congruent
26.134	0.5	incongruent
28.591	0.5	neutral
30.982	0.5	congruent
33.573	0.5	congruent
38.571	0.5	neutral
43.369	0.5	congruent
46.11	0.5	neutral
48.367	0.5	neutral
50.674	0.5	incongruent
53.081	0.5	neutral
55.522	0.5	neutral
58.28	0.5	neutral
60.888	0.5	neutral
63.579	0.5	incongruent
68.494	0.5	incongruent
70.951	0.5	incongruent
73.442	0.5	congruent
75.732	0.5	neutral
78.44	0.5	congruent
83.204	0.5	incongruent
85.963	0.5	congruent
88.269	0.5	neutral
93.435	0.5	congruent
95.825	0.5	neutral
98.182	0.5	neutral
100.623	0.5	congruent
105.872	0.5	congruent
111.021	0.5	neutral
113.361	0.5	neutral
115.902	0.5	incongruent
118.493	0.5	incongruent
121.051	0.5	neutral
123.608	0.5	incongruent
126.3	0.5	congruent
128.958	0.5	incongruent
131.264	0.5	congruent
133.655	0.5	incongruent
135.945	0.5	congruent
141.06	0.5	incongruent
143.768	0.5	congruent
151.375	0.5	neutral
154.116	0.5	congruent
159.064	0.5	neutral
161.605	0.5	congruent
166.47	0.5	incongruent
171.434	0.5	congruent
173.775	0.5	neutral
176.416	0.5	neutral
178.907	0.5	incongruent
186.329	0.0	error
193.601	0.5	congruent
196.359	0.0	error
201.558	0.5	incongruent
203.898	0.5	incongruent
206.539	0.5	congruent
208.829	0.5	congruent
211.136	0.5	neutral
213.544	0.5	incongruent
218.408	0.5	incongruent
220.665	0.5	neutral
223.256	0.5	neutral
225.797	0.5	congruent
228.538	0.5	neutral
233.603	0.5	incongruent
236.362	0.5	congruent
238.819	0.0	error
246.325	0.5	congruent
248.983	0.5	neutral
254.098	0.5	incongruent
256.806	0.5	congruent
259.197	0.5	incongruent
261.637	0.5	congruent
264.078	0.5	incongruent
266.335	0.5	incongruent
268.792	0.5	incongruent
271.4	0.5	congruent
276.247	0.5	incongruent
281.413	0.5	incongruent
284.104	0.5	neutral
286.645	0.5	neutral
288.935	0.5	incongruent
296.307	0.5	incongruent
299.015	0.0	error
301.607	0.0	error
304.014	0.5	congruent
306.755	0.5	congruent
309.396	0.5	congruent
314.211	0.5	neutral
316.969	0.5	neutral
322.034	0.5	neutral
331.947	0.5	neutral
334.438	0.5	neutral
339.302	0.5	neutral
341.894	0.5	congruent
347.092	0.5	neutral
352.007	0.5	congruent
356.771	0.0	error
359.312	0.0	error
361.619	0.5	neutral
364.01	0.5	congruent
366.5	0.5	congruent
369.142	0.5	congruent
371.9	0.5	congruent
374.24	0.5	incongruent
379.188	0.5	incongruent
381.796	0.5	neutral
384.354	0.5	congruent
386.644	0.5	incongruent
391.893	0.5	neutral
394.601	0.5	incongruent
399.566	0.5	neutral
