onset	duration	trial_type
3.036	0.5	incongruent
5.677	0.5	neutral
8.067	0.0	error
10.608	0.5	congruent
13.3	0.0	error
15.607	0.5	neutral
18.348	0.5	incongruent
20.789	0.5	congruent
23.246	0.5	incongruent
25.737	0.0	error
28.395	0.5	congruent
33.661	0.0	error
35.951	0.5	neutral
38.559	0.5	neutral
40.966	0.5	congruent
45.73	0.5	congruent
50.946	0.5	incongruent
55.794	0.5	congruent
60.892	0.5	congruent
63.45	0.5	congruent
65.807	0.5	congruent
68.465	0.0	error
73.363	0.0	error
75.904	0.5	neutral
78.395	0.5	neutral
80.802	0.5	neutral
83.544	0.5	incongruent
85.801	0.5	neutral
88.258	0.5	congruent
93.474	0.5	neutral
96.165	0.5	incongruent
98.723	0.5	incongruent
106.178	0.5	neutral
108.786	0.5	neutral
111.377	0.5	incongruent
118.682	0.0	error
121.04	0.5	incongruent
123.38	0.5	congruent
126.138	0.0	error
130.953	0.5	congruent
133.594	0.5	incongruent
136.302	0.5	incongruent
138.86	0.5	congruent
141.601	0.5	neutral
144.059	0.5	incongruent
149.207	0.5	incongruent
151.698	0.5	neutral
154.089	0.5	congruent
156.446	0.5	congruent
158.886	0.5	congruent
161.544	0.5	congruent
166.66	0.5	neutral
169.067	0.5	neutral
171.407	0.5	incongruent
174.099	0.5	neutral
179.147	0.0	error
184.413	0.5	congruent
186.72	0.5	incongruent
188.977	0.5	neutral
191.267	0.5	congruent
193.858	0.5	incongruent
198.906	0.5	congruent
201.615	0.5	neutral
204.373	0.0	error
206.78	0.5	neutral
211.979	0.5	neutral
214.286	0.5	neutral
219.05	0.5	neutral
224.199	0.5	neutral
226.656	0.5	incongruent
229.247	0.5	incongruent
234.095	0.5	incongruent
239.044	0.5	incongruent
248.923	0.5	incongruent
251.414	0.5	congruent
253.972	0.0	error
258.769	0.5	congruent
261.511	0.5	neutral
266.409	0.5	incongruent
271.574	0.5	neutral
276.69	0.5	neutral
279.398	0.5	incongruent
282.039	0.5	incongruent
284.58	0.0	error
287.238	0.0	error
289.93	0.5	congruent
292.32	0.5	congruent
297.435	0.5	congruent
300.177	0.5	neutral
302.484	0.5	neutral
305.075	0.0	error
307.516	0.5	incongruent
309.806	0.5	neutral
312.297	0.0	error
319.769	0.5	incongruent
322.527	0.5	congruent
325.085	0.0	error
327.425	0.5	neutral
329.833	0.5	incongruent
332.19	0.5	congruent
334.446	0.5	incongruent
336.904	0.5	incongruent
339.495	0.5	congruent
342.153	0.5	neutral
344.443	0.5	congruent
346.7	0.5	congruent
349.441	0.5	incongruent
352.083	0.5	incongruent
357.198	0.5	neutral
359.689	0.5	neutral
364.955	0.5	incongruent
369.802	0.5	congruent
372.243	0.5	incongruent
374.784	0.0	error
379.599	0.5	congruent
382.29	0.5	neutral
384.647	0.5	congruent
387.355	0.5	congruent
389.746	0.5	congruent
397.318	0.5	congruent
